category;description;model;rating;tags;type;size;resolution;frequency;brand;smart
tv;Ακριβές χρώμα και εκπληκτική λεπτομέρεια από κάθε γωνία, UHD ανάλυση, ULTRA Surround 4K Active HDR για αληθοφανείς σκηνές και λειτουργικό webOS;LG LED TV 43UK6300 ;3;computing;LED TV;43";4Κ Ultra HD;1600 PMI;LG;YES
tv;Μινιμαλιστικό New Edge design, υψηλή ποιότητα κατασκευής, 4Κ UHD ανάλυση, Smart εφαρμογές και πρωτοποριακές τεχνολογίες για ακόμη ελκυστικότερη εικόνα;Samsung LED TV UE49NU7102 ;4;computing;LED TV ;49";4Κ Ultra HD;1300 PQI;SAMSUNG;YES
tv;Ακριβές χρώμα και εκπληκτική λεπτομέρεια από κάθε γωνία, UHD ανάλυση, ULTRA Surround 4K Active HDR για αληθοφανείς σκηνές και λειτουργικό webOS 4.0;LG LED TV 65UK6400 ;4;computing;LED TV ;65";4Κ Ultra HD;1600 PMI;LG;YES
tv;Ακριβές χρώμα και εκπληκτική λεπτομέρεια από κάθε γωνία, UHD ανάλυση, ULTRA Surround 4K Active HDR για αληθοφανείς σκηνές και λειτουργικό webOS;LG LED TV 43UK6300;4;computing;LED TV ;43";4Κ Ultra HD;1600 PMI;LG;YES
tv;Κορυφαίες OLED τεχνολογίες απόδοσης απόλυτου μαύρου, ευκρίνεια UHD, Cinema HDR & Dolby Atmos για κορυφαία εμπειρία θέασης και webOS 4.0 για περιεχόμενο που συναρπάζει;LG OLED TV OLED55B8 ;2;computing;OLED TV;55";4Κ Ultra HD;;LG;YES
tv;Τηλεόραση 4Κ HDR 49 ιντσών με TRILUMINOS και μία ευρύτερη χρωματική παλέτα, η οποία επιτρέπει την τέλεια αναπαραγωγή κάθε σκιάς και απόχρωσης;Sony LED TV KD49XF8096 ;2;computing;LED TV;49";4Κ Ultra HD;Motionflow XR 400 Hz;SONY;YES
tv;Με την επεξεργασία εικόνας X-Reality Pro και την τεχνολογία HDR αποδίδει εικόνες που θα σε κάνουν να… τρίβεις τα μάτια σου;Sony LED TV KDL40WE660;2;computing;LED TV;40";Full HD;Motionflow XR 400 Hz;SONY;YES
tv;Premium πολυτελής σχεδιασμός, φωτεινό ELED πάνελ με 4K Ultra HD ανάλυση, υποστήριξη HDR, smart λειτουργίες με Netflix 4K με DVB-T2 & δορυφορικό δέκτη;INNO ELED TXV-U4390SMT;2;computing;ELED;43";4Κ Ultra HD;2200 CMP;INNO;YES
tv;Ανάλυση HD στις 32 ίντσες με ποιότητα εικόνας 100 PQI και με υποστήριξη τεχνολογιών Wide Color Enhancer και Hypereal Engine για τέλεια εικόνα με αποκαλυπτικές λεπτομέρειες;Samsung LED TV UE32N4002 ;4;computing;LED TV;32";HD Ready;100 PQI;SAMSUNG;NO
tv;Κομψό design, με ανάλυση HD, τεχνολογίες HDR & Xreality Pro για εξαιρετική εικόνα, Smart εφαρμογές και YouTube με το πάτημα ενός κουμπιού;Sony LED TV KDL32WE610BAEP;4;computing;LED TV;32";HD Ready;Motionflow XR 400 Hz;SONY;NO
tv;Απόλαυσε κρυστάλλινη εικόνα 4K στις 65 ίντσες του OLED panel όπως τα studio του Hollywood με τον επεξεργαστή Studio Color HCX2, βαθύ μαύρο, 4K PRO HDR και smart λειτουργίες από το my Home Screen;Panasonic OLED TV TX-65EZ950E ;4;computing;OLED TV;65";4Κ Ultra HD; ;PANASONIC;YES
tv;Mε ευκρίνεια 4Κ, τεχνολογία HDR για εξαιρετικές αντιθέσεις, ρυθμιζόμενη μεταλλική βάση που προσαρμόζεται σε κάθε χώρο και VR-Audio True Surround ήχο κάνει την ψυχαγωγία… απόλαυση;Panasonic LED TV TX-65EX703;0;computing;LED TV;65";4Κ Ultra HD;1600 Hz BMR;PANASONIC;YES
tv;Σχεδίαση που εναρμονίζεται με το χώρο, φωτισμός Full LED Backlight για ασύγκριτη ποιότητα εικόνας, προηγμένες τεχνολογίες και ο ισχυρός επεξεργαστής X1 Extreme σε μια εντυπωσιακή 4Κ HDR TV!;Sony LED TV KD49XF9005;4;computing;LED TV;49";4Κ Ultra HD;X-Motion Clarity;SONY;YES
tv;Aπόδοση 100% όγκου χρώματος με τεχνολογία Quantum Dot, Q HDR 1500 και HDR10+ για υψηλά επίπεδα φωτεινότητας και ζωντανά χρώματα. Αυτή είναι η Samsung QLED TV.;Samsung 2018 QLED TV QE65Q7FΝ ;4;computing;QLED 4K TV ;65";4Κ Ultra HD;3200 PQI;SAMSUNG;YES
tv;Με Ultra HD 4K ανάλυση και panel Nano Cell, υποστηρίζει Dolby Vision, Advanced HDR, HDR10 & HLG Pro, Dolby Atmos, ενώ στην καρδιά της χτυπά ο νέος 4πυρηνος α7;LG LED TV 49SK8000;1;computing;;49";4Κ Ultra HD;2500 PMI;LG;YES
tv;Καθηλωτική εμπειρία θέασης, εντυπωσιακή κυρτή σχεδίαση New Edge, ανάλυση UHD, τεχνολογίες αναβάθμισης εικόνας αλλά και «έξυπνo» λειτουργικό Smart Tizen;Samsung LED TV UE65NU7652;0;computing;LED TV;65";4Κ Ultra HD CURVED;1900 PQI;SAMSUNG;YES
