category;description;model;rating;tags;screen size/technology;connectivity;cpu;ram/rom;brand
tablet;Πιο λεπτό, πιο κομψό, πιο Tab S! Με μεταλλικό περίβλημα, αναλογία 4:3 και οθόνηSuper Amoled για τέλεια εικόνα σε κάθε εργασία;Samsung Galaxy Tab S2 T813;1;computing;9.7" Super Amoled 2048x1536 pixels;WiFi ;8 πύρηνος 1.8 GHz & 1.4 GHz;3GB/16GB;Samsung
tablet;Με εντυπωσιακή οθόνη Super AMOLED 10,5", 8πυρηνο Snapdragon 835 και 4GB μνήμης RAM, αποθηκευτικό χώρο 64GB, νέο S-Pen, 4 ηχεία AKG και μεγάλη μπαταρία 7.300mAh;Samsung Galaxy Tab S4 T830;3;computing;10.5" Super Amoled 2560 x 1600 pixels;WiFi ;8 πύρηνος 2.35 GHz & 1.9 GHz;4GB/64GB;Samsung
tablet;Το tablet που θα αντικαταστήσει το laptop σου: με επεξεργαστή Intel Core i5 7ης γενιάς, 8GB RAM και 256GB SSD για απεριόριστες ταχύτητες, /Intel HD Graphics 620);Microsoft Surface Pro (Gen 5) i5/256G FJX-00004 ;2;computing;12.3" PIXELSENSE 2736 x 1824 pixels;WiFi ;Intel Core i5 7300U 2.60 GHz;8GB/256GB;Microsoft
tablet;Λεπτό, ελαφρύ και ανθεκτικό, με oθόνη 10,1” FHD, 8πύρηνο επεξεργαστή, στερεοφωνικά ηχεία, Children's Corner, μπαταρία 5.100mAh και EMUI 8.0 για έξυπνη και άνετη εμπειρία χρήσης;HUAWEI MediaPad T5 Tablet;3;computing;10" Full HD 1920 x 1080 pixels;WiFi ;8 πύρηνος 2.36 GHz & 1.7 GHz;3GB/16GB;HUAWEI
tablet;Lenovo Tab 4 Tablet 10" 4G Λευκό;Lenovo Tab 4;3;computing;10" IPS panel 1280 x 800 pixels;WiFi 4G;4 πύρηνος 1.4 GHz;3GB/16GB;Lenovo
tablet;Με 64-bit επεξεργαστή A10 Fusion, iOS 11, υποστήριξη Apple Pencil και οθόνη Retina 9.7’’ σου προσφέρει τις υψηλές επιδόσεις σε ό,τι ονειρεύεσαι και σε ακολουθεί παντού;Apple iPad WiFi 6Gen ;0;computing;9.7" LED 2048x1536 pixels;WiFi ;4 πύρηνος 1.84 GHz;4GB/32GB;Apple
tablet;Ένα 4G tablet σχεδιασμένο για εύκολη και άμεση χρήση, με πλαίσιο από αλουμίνιο και εκθαμβωτική οθόνη 9,6” για ζωντανές εικόνες και άνετο σερφάρισμα;HUAWEI MediaPad T3 Tablet;2;computing;9.6" IPS panel 1280 x 800 pixels;WiFi 4G;4 πύρηνος 1.4 GHz;4GB/16GB;HUAWEI
tablet;All-screen σχεδίαση, οθόνη Liquid Retina, 8πύρηνο επεξεργαστή A12X Bionic για υψηλές επιδόσεις, Face ID, θύρα USB-C, αποθ. χώρο 64GB και συνδεσιμότητα 4G;Apple iPad Pro 64GB Tablet 12.9" 4G Space Gray;0;computing;12.9" 2732X2048;WiFi 4G;8 πύρηνος;4GB/64GB;Apple
tablet;Με επεξεργαστή Snapdragon, οθόνη 10.5 ιντσών με λόγο 16:10, ήχο Dolby Atmos και μπαταρία 7300mAh, το Samsung Tab A θα γίνει το επίκεντρο της ψυχαγωγίας σου;Samsung Galaxy Tab A T590 Tablet ;3;computing;10.5" TFT-LCD 1200 x 1920 pixels;WiFi;8 πύρηνος 1.8 GHz;3GB/16GB;Samsung
tablet;Λεπτό, ελαφρύ και ανθεκτικό, με oθόνη 10,1” FHD, 8πύρηνο επεξεργαστή, στερεοφωνικά ηχεία, Children's Corner, μπαταρία 5.100mAh και EMUI 8.0 για έξυπνη και άνετη εμπειρία χρήσης;HUAWEI MediaPad T5 Tablet ;3;computing;10" Full HD 1920 x 1080 pixels;WiFi;8 πύρηνος 2.36 GHz & 1.7 GHz;3GB/16GB;HUAWEI
tablet;Με 64-bit επεξεργαστή A10 Fusion, iOS 11, υποστήριξη Apple Pencil και οθόνη Retina 9.7’’ σου προσφέρει τις υψηλές επιδόσεις σε ό,τι ονειρεύεσαι και σε ακολουθεί παντού;Apple iPad WiFi 6Gen ;3;computing;9.7" LED 2048x1536 pixels;WiFi;4 πύρηνος 1.84 GHz;4GB/128GB;Apple
tablet;Με ισχυρό 8πυρηνο Snapdragon επεξεργαστή, 3GB RAM, Full HD οθόνη 8.0” και συνδεσιμότητα 4G LTE είναι ιδανικό για on-the-go ενημέρωση και ψυχαγωγία.;Lenovo Tab 4 Plus Tablet ;4;computing;8" Full HD 1200 x 1920 pixels;WiFi 4G LTE;8 πύρηνος 2.0 GHZ;3G/64GB;Lenovo
tablet;Με οθόνη 8 ιντσών HD ανάλυσης, 4πύρηνο επεξεργαστή Qualcomm, 2GB μνήμη RAM, 16GB αποθηκευτικό χώρο και μπαταρία 6.200mAh το έχεις πάντα μαζί σου για κάθε εργασία;Lenovo Yoga Tab 3 Tablet ;4;computing;8" IPS 1280 x 800 pixels;WiFi;4 πύρηνος 1.3 GHz;2GB/16GB;Lenovo
tablet;Αυξημένη μνήμη RAM 8GB, αποθηκευτικός χώρος SSD 256GB , επεξεργαστής Intel Corei7 7ης γενιάς, λεπτό design και 2Κ οθόνη για να έχεις ένα Tablet χωρίς να χρειάζεσαι το laptop σου;Microsoft Surface Pro (Gen 5) i7 FJZ-00004 ;4;computing;12.3" PIXELSENSE 2736 x 1824 pixels;WiFi;Intel Core i7 7660U 2.5 GHz;8GB/256GB;Microsoft
tablet;Είναι πολύ λεπτό, απίστευτα ελαφρύ και ασυμβίβαστα ισχυρό! Έχει κάμερα στα 8MP, Α8 chip και τεχνολογία Touch ID.;Apple iPad mini 4 128GB Tablet ;0;computing;7.9" Retina 2048x1536 pixels;WiFi;2 πύρηνος 1.5 GHz;8GB/128GB;Apple
tablet;Με σχεδιασμό από γυαλί, μεταλλικό περίβλημα, QXGA Super AMOLED οθόνη, ισχυρό Snapdragon επεξεργαστή και το νέο επανασχεδιασμένο S Pen δεν είναι ένα απλό tablet;Samsung Galaxy Tab S3 T820 Tablet ;2;computing;9.7" Super Amoled 2048x1536 pixels;WiFi;4 πύρηνος 2.15 GHz & 1.6 GHz;3GB/16GB;Samsung
tablet;Με εντυπωσιακή οθόνη Super AMOLED 10,5", 8πυρηνο Snapdragon 835 και 4GB μνήμης RAM, αποθηκευτικό χώρο 64GB, νέο S-Pen, 4 ηχεία AKG και μεγάλη μπαταρία 7.300mAh;Samsung Galaxy Tab S4 T830 Tablet ;0;computing;10.5" Super Amoled 2560 x 1600 pixels;WiFi;8 πύρηνος 2.35 GHz & 1.9 GHz;4GB/64GB;Samsung
tablet;Με 4πυρηνο επεξεργαστή, οθόνη 10,1 ιντσών HD τεχνολογίας IPS, μπαταρία 5.000mAh, αποθηκευτικό χώρο 16GB, δυνατότητα σύνδεσης σε 4G δίκτυα και Android 6.0 Marshmallow;Mediacom MX 10 HD Tablet ;0;computing;10.1" IPS panel 1280 x 800 pixels;WiFi 4G;4 πύρηνος 1.1 GHz;4GB/16GB;Mediacom
tablet;Ένα ευέλικτο tablet με μεγάλη IPS HD οθόνη, ήχο Dolby Atmos, μεγάλη αυτονομία και δυνατότητα δημιουργίας ξεχωριστών προσωπικών προφίλ για κάθε χρήστη.;Lenovo Tab 10 Tablet ;3;computing;10.1" IPS panel 1280 x 800 pixels;WiFi;4 πύρηνος 1.3 GHz;3GB/16GB;Lenovo
